[2022-05-22 01:27:54:0420] | CInterfaceManager.cpp-L4481: CamCtrl[2020006], GigE SDKVersion(1040006), DriverVersion(1040006)
[2022-05-22 01:27:54:0868] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 46.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:27:54:0870] |         XmlParse.cpp-L2398: SetNodeValue [AcquisitionFrameRate], [Value 0.000000 must be greater than or equal 0.400000. : OutOfRangeException thrown in node 'AcquisitionFrameRate' while calling 'AcquisitionFrameRate.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:28:39:0063] | CInterfaceManager.cpp-L4481: CamCtrl[2020006], GigE SDKVersion(1040006), DriverVersion(1040006)
[2022-05-22 01:28:41:0344] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 46.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:28:41:0345] |         XmlParse.cpp-L2398: SetNodeValue [AcquisitionFrameRate], [Value 0.000000 must be greater than or equal 0.400000. : OutOfRangeException thrown in node 'AcquisitionFrameRate' while calling 'AcquisitionFrameRate.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:32:50:0537] | CInterfaceManager.cpp-L4481: CamCtrl[2020006], GigE SDKVersion(1040006), DriverVersion(1040006)
[2022-05-22 01:32:51:0002] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 46.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:32:51:0004] |         XmlParse.cpp-L2398: SetNodeValue [AcquisitionFrameRate], [Value 0.000000 must be greater than or equal 0.400000. : OutOfRangeException thrown in node 'AcquisitionFrameRate' while calling 'AcquisitionFrameRate.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:35:08:0480] | CInterfaceManager.cpp-L4481: CamCtrl[2020006], GigE SDKVersion(1040006), DriverVersion(1040006)
[2022-05-22 01:35:30:0887] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 46.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:35:33:0365] |         XmlParse.cpp-L2398: SetNodeValue [AcquisitionFrameRate], [Value 0.000000 must be greater than or equal 0.400000. : OutOfRangeException thrown in node 'AcquisitionFrameRate' while calling 'AcquisitionFrameRate.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:36:10:0056] | CInterfaceManager.cpp-L4481: CamCtrl[2020006], GigE SDKVersion(1040006), DriverVersion(1040006)
[2022-05-22 01:36:11:0868] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 46.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:36:11:0869] |         XmlParse.cpp-L2398: SetNodeValue [AcquisitionFrameRate], [Value 0.000000 must be greater than or equal 0.400000. : OutOfRangeException thrown in node 'AcquisitionFrameRate' while calling 'AcquisitionFrameRate.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:38:27:0324] | CInterfaceManager.cpp-L4481: CamCtrl[2020006], GigE SDKVersion(1040006), DriverVersion(1040006)
[2022-05-22 01:38:27:0726] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 46.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:38:27:0727] |         XmlParse.cpp-L2398: SetNodeValue [AcquisitionFrameRate], [Value 0.000000 must be greater than or equal 0.400000. : OutOfRangeException thrown in node 'AcquisitionFrameRate' while calling 'AcquisitionFrameRate.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:38:36:0203] | CInterfaceManager.cpp-L4481: CamCtrl[2020006], GigE SDKVersion(1040006), DriverVersion(1040006)
[2022-05-22 01:38:36:0636] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 46.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2022-05-22 01:38:36:0638] |         XmlParse.cpp-L2398: SetNodeValue [AcquisitionFrameRate], [Value 0.000000 must be greater than or equal 0.400000. : OutOfRangeException thrown in node 'AcquisitionFrameRate' while calling 'AcquisitionFrameRate.SetValue()' (file 'FloatT.h', line 85)]
