[2022-05-22 01:27:54:0423] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:27:54:0423] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:27:54:0423] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:27:54:0423] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:27:54:0423] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[56212], devIP[c0a80105]
[2022-05-22 01:27:54:0425] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:27:54:0425] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:27:54:0426] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:27:54:0734] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:28:36:0863] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 01:28:36:0879] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:28:36:0928] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 01:28:37:0032] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 01:28:39:0065] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:28:39:0065] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:28:39:0065] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:28:39:0065] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:28:39:0065] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[56223], devIP[c0a80105]
[2022-05-22 01:28:39:0068] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:28:39:0068] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:28:39:0070] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:28:39:0292] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:32:50:0539] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:32:50:0539] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:32:50:0539] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:32:50:0539] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:32:50:0539] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[58945], devIP[c0a80105]
[2022-05-22 01:32:50:0541] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:32:50:0541] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:32:50:0542] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:32:50:0865] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:32:59:0109] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 01:32:59:0122] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:32:59:0142] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 01:32:59:0444] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 01:35:08:0482] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:35:08:0482] | GigEVisionManager.cpp-L0309: Driver Mode [1]
